Tanggal;Provinsi;Gejala Positif;Total
2021-05-08;KALIMANTAN BARAT;Tidak ada;4246
2021-05-10;KALIMANTAN BARAT;Tidak ada;4340
2021-05-13;KALIMANTAN BARAT;Tidak ada;4505
2021-05-14;KALIMANTAN BARAT;Tidak ada;4558
2021-05-16;KALIMANTAN BARAT;Tidak ada;4640
2021-05-19;KALIMANTAN BARAT;Tidak ada;4801
2021-05-25;KALIMANTAN BARAT;Tidak ada;5123
2021-05-26;KALIMANTAN BARAT;Tidak ada;5184
2021-05-29;KALIMANTAN BARAT;Tidak ada;5342
2021-05-31;KALIMANTAN BARAT;Tidak ada;5427
2021-06-02;KALIMANTAN BARAT;Tidak ada;5534
2021-06-10;KALIMANTAN BARAT;Tidak ada;5953
2021-06-12;KALIMANTAN BARAT;Tidak ada;6098
2021-06-13;KALIMANTAN BARAT;Tidak ada;6166
2021-03-24;KALIMANTAN SELATAN;Tidak ada;13077
2021-03-28;KALIMANTAN SELATAN;Tidak ada;13560
2021-04-07;KALIMANTAN SELATAN;Tidak ada;14659
2021-04-12;KALIMANTAN SELATAN;Tidak ada;15240
2021-04-15;KALIMANTAN SELATAN;Tidak ada;15549
2021-04-16;KALIMANTAN SELATAN;Tidak ada;15626
2021-04-17;KALIMANTAN SELATAN;Tidak ada;15704
2021-04-18;KALIMANTAN SELATAN;Tidak ada;15797
2021-04-19;KALIMANTAN SELATAN;Tidak ada;15812
2021-04-20;KALIMANTAN SELATAN;Tidak ada;15886
2021-04-21;KALIMANTAN SELATAN;Tidak ada;15933
2021-04-22;KALIMANTAN SELATAN;Tidak ada;16036
2021-04-23;KALIMANTAN SELATAN;Tidak ada;16135
2021-04-24;KALIMANTAN SELATAN;Tidak ada;16221
2021-04-25;KALIMANTAN SELATAN;Tidak ada;16249
2021-04-26;KALIMANTAN SELATAN;Tidak ada;16257
2021-04-27;KALIMANTAN SELATAN;Tidak ada;16306
2021-04-30;KALIMANTAN SELATAN;Tidak ada;16479
2021-05-01;KALIMANTAN SELATAN;Tidak ada;16523
2021-05-02;KALIMANTAN SELATAN;Tidak ada;16529
2021-05-04;KALIMANTAN SELATAN;Tidak ada;16574
2021-05-06;KALIMANTAN SELATAN;Tidak ada;16660
2021-05-08;KALIMANTAN SELATAN;Tidak ada;16786
2021-05-10;KALIMANTAN SELATAN;Tidak ada;16829
2021-05-13;KALIMANTAN SELATAN;Tidak ada;16908
2021-05-14;KALIMANTAN SELATAN;Tidak ada;16918
2021-05-16;KALIMANTAN SELATAN;Tidak ada;16937
2021-05-19;KALIMANTAN SELATAN;Tidak ada;16998
2021-05-25;KALIMANTAN SELATAN;Tidak ada;17177
2021-05-26;KALIMANTAN SELATAN;Tidak ada;17218
2021-05-29;KALIMANTAN SELATAN;Tidak ada;17335
2021-05-31;KALIMANTAN SELATAN;Tidak ada;17380
2021-06-02;KALIMANTAN SELATAN;Tidak ada;17407
2021-06-10;KALIMANTAN SELATAN;Tidak ada;17600
2021-06-12;KALIMANTAN SELATAN;Tidak ada;17628
2021-06-13;KALIMANTAN SELATAN;Tidak ada;17643
2021-03-24;KALIMANTAN TENGAH;Tidak ada;8213
2021-03-28;KALIMANTAN TENGAH;Tidak ada;8461
2021-04-07;KALIMANTAN TENGAH;Tidak ada;8923
2021-04-12;KALIMANTAN TENGAH;Tidak ada;9177
2021-04-15;KALIMANTAN TENGAH;Tidak ada;9314
2021-04-16;KALIMANTAN TENGAH;Tidak ada;9372
2021-04-17;KALIMANTAN TENGAH;Tidak ada;9431
2021-04-18;KALIMANTAN TENGAH;Tidak ada;9477
2021-04-19;KALIMANTAN TENGAH;Tidak ada;9516
2021-04-20;KALIMANTAN TENGAH;Tidak ada;9587
2021-04-21;KALIMANTAN TENGAH;Tidak ada;9635
2021-04-22;KALIMANTAN TENGAH;Tidak ada;9671
2021-04-23;KALIMANTAN TENGAH;Tidak ada;9713
2021-04-24;KALIMANTAN TENGAH;Tidak ada;9773
2021-04-25;KALIMANTAN TENGAH;Tidak ada;9813
2021-04-26;KALIMANTAN TENGAH;Tidak ada;9862
2021-04-27;KALIMANTAN TENGAH;Tidak ada;9890
2021-04-30;KALIMANTAN TENGAH;Tidak ada;10036
2021-05-01;KALIMANTAN TENGAH;Tidak ada;10090
2021-05-02;KALIMANTAN TENGAH;Tidak ada;10114
2021-05-04;KALIMANTAN TENGAH;Tidak ada;10202
2021-05-06;KALIMANTAN TENGAH;Tidak ada;10284
2021-05-08;KALIMANTAN TENGAH;Tidak ada;10389
2021-05-10;KALIMANTAN TENGAH;Tidak ada;10464
2021-05-13;KALIMANTAN TENGAH;Tidak ada;10562
2021-05-14;KALIMANTAN TENGAH;Tidak ada;10590
2021-05-16;KALIMANTAN TENGAH;Tidak ada;10626
2021-05-19;KALIMANTAN TENGAH;Tidak ada;10737
2021-05-25;KALIMANTAN TENGAH;Tidak ada;10996
2021-05-26;KALIMANTAN TENGAH;Tidak ada;11041
2021-05-29;KALIMANTAN TENGAH;Tidak ada;11190
2021-05-31;KALIMANTAN TENGAH;Tidak ada;11282
2021-06-02;KALIMANTAN TENGAH;Tidak ada;11354
2021-06-10;KALIMANTAN TENGAH;Tidak ada;11740
2021-06-12;KALIMANTAN TENGAH;Tidak ada;11833
2021-06-13;KALIMANTAN TENGAH;Tidak ada;11882
2021-03-24;KALIMANTAN TIMUR;Tidak ada;31081
2021-03-28;KALIMANTAN TIMUR;Tidak ada;31546
2021-04-07;KALIMANTAN TIMUR;Tidak ada;32429
2021-04-12;KALIMANTAN TIMUR;Tidak ada;32850
2021-04-15;KALIMANTAN TIMUR;Tidak ada;33120
2021-04-16;KALIMANTAN TIMUR;Tidak ada;33184
2021-04-17;KALIMANTAN TIMUR;Tidak ada;33288
2021-04-18;KALIMANTAN TIMUR;Tidak ada;33381
2021-04-19;KALIMANTAN TIMUR;Tidak ada;33439
2021-04-20;KALIMANTAN TIMUR;Tidak ada;33514
2021-04-21;KALIMANTAN TIMUR;Tidak ada;33607
