"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-04-20","KALIMANTAN BARAT","0-5",169
"2021-04-21","KALIMANTAN BARAT","0-5",170
"2021-04-22","KALIMANTAN BARAT","0-5",174
"2021-04-23","KALIMANTAN BARAT","0-5",175
"2021-04-24","KALIMANTAN BARAT","0-5",177
"2021-04-25","KALIMANTAN BARAT","0-5",179
"2021-04-26","KALIMANTAN BARAT","0-5",179
"2021-04-27","KALIMANTAN BARAT","0-5",179
"2021-04-30","KALIMANTAN BARAT","0-5",186
"2021-05-01","KALIMANTAN BARAT","0-5",193
"2021-05-02","KALIMANTAN BARAT","0-5",193
"2021-05-04","KALIMANTAN BARAT","0-5",200
"2021-05-06","KALIMANTAN BARAT","0-5",204
"2021-05-08","KALIMANTAN BARAT","0-5",210
"2021-05-10","KALIMANTAN BARAT","0-5",213
"2021-05-13","KALIMANTAN BARAT","0-5",220
"2021-05-14","KALIMANTAN BARAT","0-5",224
"2021-05-16","KALIMANTAN BARAT","0-5",226
"2021-05-19","KALIMANTAN BARAT","0-5",234
"2021-05-25","KALIMANTAN BARAT","0-5",252
"2021-05-26","KALIMANTAN BARAT","0-5",255
"2021-05-29","KALIMANTAN BARAT","0-5",266
"2021-05-31","KALIMANTAN BARAT","0-5",272
"2021-06-02","KALIMANTAN BARAT","0-5",279
"2021-06-10","KALIMANTAN BARAT","0-5",300
"2021-06-12","KALIMANTAN BARAT","0-5",305
"2021-06-13","KALIMANTAN BARAT","0-5",306
"2021-03-24","KALIMANTAN SELATAN","0-5",748
"2021-03-28","KALIMANTAN SELATAN","0-5",768
"2021-04-07","KALIMANTAN SELATAN","0-5",810
"2021-04-12","KALIMANTAN SELATAN","0-5",829
"2021-04-15","KALIMANTAN SELATAN","0-5",835
"2021-04-16","KALIMANTAN SELATAN","0-5",837
"2021-04-17","KALIMANTAN SELATAN","0-5",847
"2021-04-18","KALIMANTAN SELATAN","0-5",847
